CropSeqID	startDay	endDay	FOMCStoredStart	HUMCStoredStart	ROMCStoredStart	BiocharCStoredStart	FOMnStoredStart	HUMnStoredStart	ROMnStoredStart	FOMC_InputThisCrop	HUMC_InputThisCrop	BiocharC_InputThisCrop	CO2Emission	balance	FOMCStoredEnd	HUMCStoredEnd	ROMCStoredEnd	BiocharCStoredEnd	SoilOrganicCarbon	FOMnStoredEnd	HUMnStoredEnd	ROMnStoredEnd	Total_soil_N	FOMNInput	HUMNInput	Nmin	Org_N_leached	NStart	Nend	FOMnmineralised
CropSeqID	day	day	MgC/ha	MgC/ha	MgC/ha	MgC/ha	MgN/ha	MgN/ha	MgN/ha	MgC/ha/period	MgC/ha/period	MgC/ha/period	MgC/ha/period	MgC/ha/period	MgC/ha	MgC/ha	MgC/ha	MgC/ha	MgC/ha	MgN/ha	MgN/ha	MgN/ha	MgN/ha	MgN/ha/period	MgN/ha/period	MgN/ha/period	MgN/ha/period	MgN/ha	MgN/ha	MgN/ha/period
1	-36180	-35816	7930	79300	79300	0	793	6608.33333333333	6608.33333333333	0	0	0	0	0	7930	79300	79300	0	166530	793	6608.33333333333	6608.33333333333	14009.6667	0	0	0	0	14009.6666666667	0	0
1	-36180	-35816	7930	79300	79300	0	793	6608.33333333333	6608.33333333333	6599.99999999998	0	0	7734.16489821754	1.16415321826935E-10	6911.80563852946	79176.7957695352	79307.2336937176	0	165395.835101782	624.858732873177	6598.06631412794	6608.93614114314	13831.8611881442	440.000000000003	0	617.805478522421	0	14009.6666666667	13831.8611881442	608.1413
1	-35815	-35451	6911.80563852946	79176.7957695352	79307.2336937176	0	624.858732873177	6598.06631412794	6608.93614114314	6599.99999999998	0	0	7142.18934326406	2.03726813197136E-10	6599.17233470901	78940.0692113021	79314.4042125069	0	164853.645758518	546.270874304987	6578.33910094184	6609.53368437557	13734.1436596224	440.000000000003	0	537.717528521844	0	13831.8611881442	13734.1436596224	518.5879
1	-35450	-35086	6599.17233470901	78940.0692113021	79314.4042125069	0	546.270874304987	6578.33910094184	6609.53368437557	6599.99999999998	0	0	6957.12596032782	1.16415321826935E-10	6503.11847372453	78671.911173288	79321.4901511775	0	164496.51979819	512.663225866154	6555.992597774	6610.12417926479	13678.7800029049	440.000000000003	0	495.36365671746	0	13734.1436596224	13678.7800029049	473.6076
1	-35085	-34721	6503.11847372453	78671.911173288	79321.4901511775	0	512.663225866154	6555.992597774	6610.12417926479	6599.99999999998	0	0	6896.99080084835	3.20142135024071E-10	6473.58833826485	78397.454604276	79328.4860548005	0	164199.528997341	499.022729079021	6533.121217023	6610.70717123337	13642.8511173354	440.000000000003	0	475.928885569554	0	13678.7800029049	13642.8511173354	453.6405
1	-34720	-34356	6473.58833826485	78397.454604276	79328.4860548005	0	499.022729079021	6533.121217023	6610.70717123337	6599.99999999998	0	0	6875.2739185455	1.74622982740402E-10	6464.50421965625	78124.3595163288	79335.3913428106	0	163924.255078796	493.65584209451	6510.3632930274	6611.28261190088	13615.3017470228	440.000000000003	0	467.549370312605	0	13642.8511173354	13615.3017470228	445.3669
1	-34355	-33991	6464.50421965625	78124.3595163288	79335.3913428106	0	493.65584209451	6510.3632930274	6611.28261190088	6599.99999999998	0	0	6865.41712533231	1.45519152283669E-10	6461.70805745621	77854.9229837298	79342.2069122771	0	163658.837953463	491.58649553217	6487.91024864415	6611.85057602309	13591.3473201994	440.000000000003	0	463.954426823379	0	13615.3017470228	13591.3473201994	442.0693
1	-33990	-33626	6461.70805745621	77854.9229837298	79342.2069122771	0	491.58649553217	6487.91024864415	6611.85057602309	6599.99999999998	0	0	6859.26132806438	8.73114913702011E-11	6460.84686669577	77589.7956629536	79348.9340957493	0	163399.576625399	490.799897956749	6465.81630524613	6612.41117464578	13569.0273778487	440.000000000003	0	462.319942350761	0	13591.3473201994	13569.0273778487	440.7866
1	-33625	-33261	6460.84686669577	77589.7956629536	79348.9340957493	0	490.799897956749	6465.81630524613	6612.41117464578	6599.99999999998	0	0	6854.29771042599	3.20142135024071E-10	6460.58147409112	77329.1230993569	79355.5743415243	0	163145.278914972	490.504055286758	6444.09359161307	6612.96452846036	13547.5621753602	440.000000000003	0	461.465202488465	0	13569.0273778487	13547.5621753602	440.2958
1	-33260	-32896	6460.58147409112	77329.1230993569	79355.5743415243	0	490.504055286758	6444.09359161307	6612.96452846036	6599.99999999998	0	0	6849.75373634152	-5.82076609134674E-11	6460.49964164157	77072.8964212845	79362.1291157048	0	162895.525178631	490.393695055277	6422.74136844037	6613.51075964207	13526.6458231377	440.000000000003	0	460.916352222475	0	13547.5621753602	13526.6458231377	440.1104
