Identity	name	area	isIrrigated	unutilisedGrazableDM	CFixed	surfaceResidueC	subsurfaceResidueC	urineCCropClass	manureFOMCsurface	faecalCCropClass	storageProcessingCLoss	fertiliserC	harvestedC	harvestedDM	burntResidueC	residueCtoNextCrop	unutilisedGrazableC	NyieldMax	maxCropNuptake	cropNuptake	mineralNavailable	soilNMineralisation	Nfixed	nAtm	fertiliserNinput	totalManureNApplied	urineNCropClass	faecalNCropClass	mineralNFromLastCrop	surfaceResidueN	subsurfaceResidueN	excretaNInput	manureNH3emission	fertiliserNH3emission	urineNH3emission	harvestedN	storageProcessingNLoss	manureN2OEmission	soilN2OEmission	fertiliserN2OEmission	Placeholder	burningN2ON	N2Nemission	burningNH3N	burningNOxN	burningOtherN	N2ONemission	nitrateLeaching	mineralNToNextCrop	Precipitation	Irrigation	Drainage	surfaceResidueDM	startday 	startmonth 	startyear 	endday 	endmonth 	endyear 	storageProcessingDMLoss	storageProcessingCLoss	storageProcessingNLoss	unutilisedGrazableN	Name	Potential_yield	waterLimited_yield	Modelled_yield	Expected_yield	Grazed_yield	Harvested	usableForBedding	Name	Potential_yield	waterLimited_yield	Modelled_yield	Expected_yield	Grazed_yield	Harvested	usableForBedding	CropSeq	duration	residueCfromLastCrop	soilCO2_CEmission	CdeltaSoil	deltaSoilN	residueNfromLastCrop	grazedN	residueNtoNextCrop	StartDay
-	-	ha	-	kg/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgDM/ha	kgC/ha	kgC/ha	kg/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha		kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	mm	mm	mm	kg/ha	day	month	year	day	month	year	kg DM/ha	kg C/ha	kg N/ha	kgN/ha	kg/ha	kgDM/ha	kgDM/ha	kgDM/ha	kgDM/ha	kgDM/ha	-	-	kg/ha	kgDM/ha	kgDM/ha	kgDM/ha	kgDM/ha	kgDM/ha	-	-	-	days	kgC/ha	kgC/ha	kgC/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	JulianDay
0	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138.1778	331.8087	0	10	0	0	0	0	444.1909	0	0	0	0	0	0	0	0	0	3.4181	0	0	0	6.1526	0	0	0	3.4181	638.2512	138.1778	754.8065	0	353.5165	0	16	11	1	15	11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	5923.3167	-592331.6679	-331.8087	0	0	0	320
1	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91.6179	237.1124	0	10	0	0	0	0	138.1778	0	0	0	0	0	0	0	0	0	2.4711	0	0	0	4.448	0	0	0	2.4711	286.7531	91.6179	754.8065	0	356.8747	0	16	11	2	15	11	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	2407.5112	-833082.7856	-237.1124	0	0	0	685
2	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.0496	178.4306	0	10	0	0	0	0	91.6179	0	0	0	0	0	0	0	0	0	1.8843	0	0	0	3.3918	0	0	0	1.8843	205.7229	69.0496	754.8065	0	357.1337	0	16	11	3	15	11	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	1690.1955	-1002102.3369	-178.4306	0	0	0	1050
3	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57.3327	147.7072	0	10	0	0	0	0	69.0496	0	0	0	0	0	0	0	0	0	1.5771	0	0	0	2.8387	0	0	0	1.5771	165.0082	57.3327	754.8065	0	357.4814	0	16	11	4	15	11	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	1521.0831	-1154210.6441	-147.7072	0	0	0	1415
4	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.244	131.8286	0	10	0	0	0	0	57.3327	0	0	0	0	0	0	0	0	0	1.4183	0	0	0	2.5529	0	0	0	1.4183	143.9461	51.244	754.8065	0	357.8376	0	16	11	5	15	11	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	1459.8771	-1300198.3511	-131.8286	0	0	0	1780
5	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.8614	123.073	0	10	0	0	0	0	51.244	0	0	0	0	0	0	0	0	0	1.3307	0	0	0	2.3953	0	0	0	1.3307	132.7295	47.8614	754.8065	0	358.1874	0	16	11	6	15	11	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	1420.4437	-1442242.7165	-123.073	0	0	0	2145
6	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.7386	117.6253	0	10	0	0	0	0	47.8614	0	0	0	0	0	0	0	0	0	1.2763	0	0	0	2.2973	0	0	0	1.2763	126.1745	45.7386	754.8065	0	358.5282	0	16	11	7	15	11	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	1385.9252	-1580835.235	-117.6253	0	0	0	2510
7	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.2017	113.709	0	10	0	0	0	0	45.7386	0	0	0	0	0	0	0	0	0	1.2371	0	0	0	2.2268	0	0	0	1.2371	121.782	44.2017	754.8065	0	358.8597	0	16	11	8	15	11	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	1353.0108	-1716136.3109	-113.709	0	0	0	2875
8	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.9442	110.5156	0	10	0	0	0	0	44.2017	0	0	0	0	0	0	0	0	0	1.2052	0	0	0	2.1693	0	0	0	1.2052	118.3987	42.9442	754.8065	0	359.1821	0	16	11	9	15	11	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	1321.038	-1848240.1102	-110.5156	0	0	0	3240
