Identity	name	area	isIrrigated	unutilisedGrazableDM	CFixed	surfaceResidueC	subsurfaceResidueC	urineCCropClass	manureFOMCsurface	faecalCCropClass	storageProcessingCLoss	fertiliserC	harvestedC	harvestedDM	burntResidueC	residueCtoNextCrop	unutilisedGrazableC	NyieldMax	maxCropNuptake	cropNuptake	mineralNavailable	soilNMineralisation	Nfixed	nAtm	fertiliserNinput	totalManureNApplied	urineNCropClass	faecalNCropClass	mineralNFromLastCrop	surfaceResidueN	subsurfaceResidueN	excretaNInput	manureNH3emission	fertiliserNH3emission	urineNH3emission	harvestedN	storageProcessingNLoss	manureN2OEmission	soilN2OEmission	fertiliserN2OEmission	Placeholder	burningN2ON	N2Nemission	burningNH3N	burningNOxN	burningOtherN	N2ONemission	nitrateLeaching	mineralNToNextCrop	Precipitation	Irrigation	Drainage	surfaceResidueDM	startday 	startmonth 	startyear 	endday 	endmonth 	endyear 	storageProcessingDMLoss	storageProcessingCLoss	storageProcessingNLoss	unutilisedGrazableN	Name	Potential_yield	waterLimited_yield	Modelled_yield	Expected_yield	Grazed_yield	Harvested	usableForBedding	Name	Potential_yield	waterLimited_yield	Modelled_yield	Expected_yield	Grazed_yield	Harvested	usableForBedding	CropSeq	duration	residueCfromLastCrop	soilCO2_CEmission	CdeltaSoil	deltaSoilN	residueNfromLastCrop	grazedN	residueNtoNextCrop	StartDay
-	-	ha	-	kg/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgDM/ha	kgC/ha	kgC/ha	kg/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha		kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	mm	mm	mm	kg/ha	day	month	year	day	month	year	kg DM/ha	kg C/ha	kg N/ha	kgN/ha	kg/ha	kgDM/ha	kgDM/ha	kgDM/ha	kgDM/ha	kgDM/ha	-	-	kg/ha	kgDM/ha	kgDM/ha	kgDM/ha	kgDM/ha	kgDM/ha	-	-	-	days	kgC/ha	kgC/ha	kgC/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	JulianDay
0	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.8117	13.5715	0	10	0	0	0	0	7.7905	0	0	0	0	0	0	0	0	0	0.2357	0	0	0	0.4243	0	0	0	0.2357	23.8902	6.8117	754.8065	0	370.6613	0	16	11	1	15	11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	162.8574	-16285.7417	-13.5715	0	0	0	320
1	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.7152	13.2951	0	10	0	0	0	0	6.8117	0	0	0	0	0	0	0	0	0	0.233	0	0	0	0.4193	0	0	0	0.233	22.7393	6.7152	754.8065	0	370.3114	0	16	11	2	15	11	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	159.5412	-32239.8632	-13.2951	0	0	0	685
2	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.6353	13.0254	0	10	0	0	0	0	6.7152	0	0	0	0	0	0	0	0	0	0.2303	0	0	0	0.4145	0	0	0	0.2303	22.4606	6.6353	754.8065	0	370.3437	0	16	11	3	15	11	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	156.3048	-47870.3458	-13.0254	0	0	0	1050
3	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.5577	12.7622	0	10	0	0	0	0	6.6353	0	0	0	0	0	0	0	0	0	0.2276	0	0	0	0.4097	0	0	0	0.2276	22.2025	6.5577	754.8065	0	370.3753	0	16	11	4	15	11	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	153.1463	-63184.9786	-12.7622	0	0	0	1415
4	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4819	12.5053	0	10	0	0	0	0	6.5577	0	0	0	0	0	0	0	0	0	0.2251	0	0	0	0.4051	0	0	0	0.2251	21.9509	6.4819	754.8065	0	370.4062	0	16	11	5	15	11	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	150.0638	-78191.3627	-12.5053	0	0	0	1780
5	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.408	12.2546	0	10	0	0	0	0	6.4819	0	0	0	0	0	0	0	0	0	0.2225	0	0	0	0.4006	0	0	0	0.2225	21.7054	6.408	754.8065	0	370.4365	0	16	11	6	15	11	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	147.0555	-92896.9163	-12.2546	0	0	0	2145
6	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3359	12.01	0	10	0	0	0	0	6.408	0	0	0	0	0	0	0	0	0	0.2201	0	0	0	0.3962	0	0	0	0.2201	21.4658	6.3359	754.8065	0	370.4662	0	16	11	7	15	11	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	144.1196	-107308.8784	-12.01	0	0	0	2510
7	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2656	11.7712	0	10	0	0	0	0	6.3359	0	0	0	0	0	0	0	0	0	0.2177	0	0	0	0.3919	0	0	0	0.2177	21.2319	6.2656	754.8065	0	370.4953	0	16	11	8	15	11	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	141.2544	-121434.3138	-11.7712	0	0	0	2875
8	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.197	11.5382	0	10	0	0	0	0	6.2656	0	0	0	0	0	0	0	0	0	0.2154	0	0	0	0.3877	0	0	0	0.2154	21.0037	6.197	754.8065	0	370.5237	0	16	11	9	15	11	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	138.458	-135280.1168	-11.5382	0	0	0	3240
